tablecolumn;tables;sel1_relevant;sel2_organ;sel3_TNM;sel4_datum;sel5_pflicht;sel6_mamma;sel7_prostata;sel8_prio;sel9_darm;sel10_melanom
[Substanz]SYST_TypSubstanzATC_Version;Substanz;;;;;;;;;;
[Substanz]TypeOfSYST_TypSubstanz;Substanz;;;;;;;;;;
[SYST]Anzahl_Tage_Diagnose_SYST;SYST;;;;1;;;;;;
[SYST]Anzahl_Tage_SYST_Dauer;SYST;;;;1;;;;;;
[SYST]Datum_Beginn_SYST;SYST;;;;1;;;;;;
[SYST]Datum_Beginn_SYST_Genauigkeit;SYST;;;;1;;;;;;
[SYST]Intention;SYST;1;;;;;;;;;
[SYST]Stellung_OP;SYST;;;;;;;;1;;
[SYST]Therapieart;SYST;;;;;;;;1;;
[Todesursache]Code;Todesursache;1;;;;;;;;;
[Todesursache]IsGrundleiden;Todesursache;;;;;;;;1;;
[Todesursache]Version;Todesursache;1;;;;;;;;;
[Tumor]a_Symbol_c;Tumor;;;;;;;;;;
[Tumor]a_Symbol_p;Tumor;;;;;;;;;;
[Tumor]Agrp05;Tumor;;;;;;;;;;
[Tumor]AnlassGleasonScore;Tumor;;1;;;;;1;;;
[Tumor]Anzahl_Tage_Diagnose_Tod;Tumor;;;;1;;;;;;
[Tumor]c_p_u_Praefix_M_c;Tumor;;;;;;;;;;
[Tumor]c_p_u_Praefix_M_p;Tumor;;;;;;;;;;
[Tumor]c_p_u_Praefix_N_c;Tumor;;;;;;;;;;
[Tumor]c_p_u_Praefix_N_p;Tumor;;;;;;;;;;
[Tumor]c_p_u_Praefix_T_c;Tumor;;;1;;;;;;;
[Tumor]c_p_u_Praefix_T_p;Tumor;;;1;;;;;;;
[Tumor]DatumPSA;Tumor;;1;;1;;;1;;;
[Tumor]DatumPSA_Genauigkeit;Tumor;;1;;1;;;;;;
[Tumor]DCN;Tumor;;;;;1;;;;;
[Tumor]Diagnose_ICD10_Code;Tumor;;;;;1;;;;;
[Tumor]Diagnose_ICD10_Version;Tumor;;;;;;;;;;
[Tumor]Diagnosealter;Tumor;;;;;;;;;;
[Tumor]Diagnosedatum;Tumor;;;;1;1;;;;;
[Tumor]Diagnosedatum_Genauigkeit;Tumor;;;;1;;;;;;
[Tumor]Diagnosejahr;Tumor;;;;;;;;;;
[Tumor]Diagnosesicherung;Tumor;;;;;1;;;;;
[Tumor]Dignität;Tumor;1;;;;;;;;;
[Tumor]Grading;Tumor;1;;;;;;;;;
[Tumor]GradPrimaer;Tumor;;1;;;;;;;;
[Tumor]GradSekundaer;Tumor;;1;;;;;;;;
[Tumor]Her2neuStatus;Tumor;;1;;;;1;;;;
[Tumor]Histologie;Tumor;;;;;;;;;;
[Tumor]HormonrezeptorStatus_Oestrogen;Tumor;;1;;;;1;;;;
[Tumor]HormonrezeptorStatus_Progesteron;Tumor;;1;;;;1;;;;
[Tumor]Inzidenzort;Tumor;;;;;1;;;;;
[Tumor]Inzidenzort_BL;Tumor;;;;;;;;;;
[Tumor]L_c;Tumor;;;;;;;;;;
[Tumor]L_p;Tumor;;;;;;;;;;
[Tumor]LDH;Tumor;;;;;;;;;;1
[Tumor]Lieferregister_Label;Tumor;;;;;;;;;;
[Tumor]LK_befallen;Tumor;;1;;;;;;;;
[Tumor]LK_untersucht;Tumor;;1;;;;;;;;
[Tumor]M_c;Tumor;;;1;;;;;;;
[Tumor]M_p;Tumor;;;1;;;;;;;
[Tumor]m_Symbol_c;Tumor;;;;;;;;;;
[Tumor]m_Symbol_p;Tumor;;;;;;;;;;
[Tumor]Morphologie_Code;Tumor;1;;;;;;;;;
[Tumor]Morphologie_Version;Tumor;1;;;;;;;;;
[Tumor]N_c;Tumor;;;1;;;;;;;
[Tumor]N_p;Tumor;;;1;;;;;;;
[Tumor]Pn_c;Tumor;;;;;;;;;;
[Tumor]Pn_p;Tumor;;;;;;;;;;
[Tumor]Praetherapeutischer_Menopausenstatus;Tumor;;1;;;;1;;;;
[Tumor]PSA;Tumor;;1;;;;;1;;;
[Tumor]r_Symbol_c;Tumor;;;;;;;;;;
[Tumor]r_Symbol_p;Tumor;;;;;;;;;;
[Tumor]RASMutation;Tumor;;1;;;;;;;1;
[Tumor]RektumAbstandAnokutanlinie;Tumor;;1;;;;;;;1;
[Tumor]S_c;Tumor;;;;;;;;;;
[Tumor]S_p;Tumor;;;;;;;;;;
[Tumor]ScoreErgebnis;Tumor;;1;;;;;1;;;
[Tumor]Seitenlokalisation;Tumor;;;;;1;;;;;
[Tumor]T_c;Tumor;1;;1;;;;;;;
[Tumor]T_p;Tumor;;;1;;;;;;;
[Tumor]TNM_Auflage_c;Tumor;1;;1;;;;;;;
[Tumor]TNM_Auflage_p;Tumor;;;1;;;;;;;
[Tumor]Topographie_Code;Tumor;1;;;;;;;;;
[Tumor]Topographie_Version;Tumor;1;;;;;;;;;
[Tumor]Tumordicke;Tumor;;1;;;;;;;;1
[Tumor]TumorgroesseDCIS;Tumor;;1;;;;1;;;;
[Tumor]TumorgroesseInvasiv;Tumor;;1;;;;1;;;;
[Tumor]UICC_Stadium_c;Tumor;1;;1;;;;;;;
[Tumor]UICC_Stadium_p;Tumor;;;1;;;;;;;
[Tumor]Ulzeration;Tumor;;1;;;;;;;;1
[Tumor]V_c;Tumor;;;;;;;;;;
[Tumor]V_p;Tumor;;;;;;;;;;
[Tumor]y_Symbol_c;Tumor;;;;;;;;;;
[Tumor]y_Symbol_p;Tumor;;;;;;;;;;
